0,25.693546,26.476156,20.355764,16.151312,2.953452,25.693546,1.81813,0,0,0,0,0,0,0,0
25.693546,0,3.06497,20.824821,17.107574,17.674625,0,17.967945,25.693546,25.693546,25.693546,25.693546,25.693546,25.693546,25.693546,25.693546
26.476156,3.06497,0,22.026165,18.308922,18.875973,3.06497,19.169294,26.476156,26.476156,26.476156,26.476156,26.476156,26.476156,26.476156,26.476156
20.355764,20.824821,22.026165,0,9.331934,16.77482,20.824821,18.316414,20.355764,20.355764,20.355764,20.355764,20.355764,20.355764,20.355764,20.355764
16.151312,17.107574,18.308922,9.331934,0,13.306742,17.107574,14.848332,16.151312,16.151312,16.151312,16.151312,16.151312,16.151312,16.151312,16.151312
2.953452,17.674625,18.875973,16.77482,13.306742,0,17.674625,1.765898,2.953452,2.953452,2.953452,2.953452,2.953452,2.953452,2.953452,2.953452
25.693546,0,3.06497,20.824821,17.107574,17.674625,0,17.967945,25.693546,25.693546,25.693546,25.693546,25.693546,25.693546,25.693546,25.693546
1.81813,17.967945,19.169294,18.316414,14.848332,1.765898,17.967945,0,1.81813,1.81813,1.81813,1.81813,1.81813,1.81813,1.81813,1.81813
0,25.693546,26.476156,20.355764,16.151312,2.953452,25.693546,1.81813,0,0,0,0,0,0,0,0
0,25.693546,26.476156,20.355764,16.151312,2.953452,25.693546,1.81813,0,0,0,0,0,0,0,0
0,25.693546,26.476156,20.355764,16.151312,2.953452,25.693546,1.81813,0,0,0,0,0,0,0,0
0,25.693546,26.476156,20.355764,16.151312,2.953452,25.693546,1.81813,0,0,0,0,0,0,0,0
0,25.693546,26.476156,20.355764,16.151312,2.953452,25.693546,1.81813,0,0,0,0,0,0,0,0
0,25.693546,26.476156,20.355764,16.151312,2.953452,25.693546,1.81813,0,0,0,0,0,0,0,0
0,25.693546,26.476156,20.355764,16.151312,2.953452,25.693546,1.81813,0,0,0,0,0,0,0,0
0,25.693546,26.476156,20.355764,16.151312,2.953452,25.693546,1.81813,0,0,0,0,0,0,0,0
