0,3.9133,3.9133,2.457097,2.457097,2.457097,2.457097,0,0,0,0,0,0,0
3.9133,0,0,2.987591,2.987591,2.987591,2.987591,3.9133,3.9133,3.9133,3.9133,3.9133,3.9133,3.9133
3.9133,0,0,2.987591,2.987591,2.987591,2.987591,3.9133,3.9133,3.9133,3.9133,3.9133,3.9133,3.9133
2.457097,2.987591,2.987591,0,0,0,0,2.457097,2.457097,2.457097,2.457097,2.457097,2.457097,2.457097
2.457097,2.987591,2.987591,0,0,0,0,2.457097,2.457097,2.457097,2.457097,2.457097,2.457097,2.457097
2.457097,2.987591,2.987591,0,0,0,0,2.457097,2.457097,2.457097,2.457097,2.457097,2.457097,2.457097
2.457097,2.987591,2.987591,0,0,0,0,2.457097,2.457097,2.457097,2.457097,2.457097,2.457097,2.457097
0,3.9133,3.9133,2.457097,2.457097,2.457097,2.457097,0,0,0,0,0,0,0
0,3.9133,3.9133,2.457097,2.457097,2.457097,2.457097,0,0,0,0,0,0,0
0,3.9133,3.9133,2.457097,2.457097,2.457097,2.457097,0,0,0,0,0,0,0
0,3.9133,3.9133,2.457097,2.457097,2.457097,2.457097,0,0,0,0,0,0,0
0,3.9133,3.9133,2.457097,2.457097,2.457097,2.457097,0,0,0,0,0,0,0
0,3.9133,3.9133,2.457097,2.457097,2.457097,2.457097,0,0,0,0,0,0,0
0,3.9133,3.9133,2.457097,2.457097,2.457097,2.457097,0,0,0,0,0,0,0
