Vehicle #,R(d),R(t),Wait Time,Avg. Occupancy
1,56.588572,91.97344503333332,1.528428566666669,0.12472699515795854
2,83.689716,93.98707149999998,0,0.15029343761037037
3,40.711528,32.67852546666667,0,0.31639318438280734
4,5.906904,47.0984484,0,0.21336635369924417
